epoch,train_loss,val_loss
1,2.113588331016243,2.0327911116182804
2,1.8767984158603856,2.2563620284199715
3,1.7796785142404814,1.8722449950873852
4,1.68826377222724,1.919094417244196
5,1.6505478874165962,1.660055659711361
6,1.5795996138390074,1.609600331634283
7,1.505634420095606,1.554091140627861
8,1.4380638394372682,1.53938964381814
9,1.3760349849859874,1.4745362810790539
10,1.3436838158056246,1.5576135478913784
11,1.2711974152013765,1.5630924422293901
12,1.2181158712569704,1.4977274052798748
13,1.1881384395115764,1.453164715319872
14,1.1428196821229677,1.3143103551119566
15,1.1117716051162558,1.3788854759186506
16,1.0801270568201728,1.2523312661796808
17,1.0301943894819166,1.312933148816228
18,1.0061389533340508,1.314028413966298
19,0.9909044121596831,1.2536665182560682
20,0.9498657085371356,1.217766610905528
21,0.9083769399646326,1.2622332572937012
22,0.8836075184827156,1.2445750758051872
23,0.8564145576657979,1.2937452793121338
24,0.8225547452556327,1.2248323261737823
25,0.7947665244763624,1.2059415485709906
26,0.7709117082627952,1.214919075369835
27,0.7276424143119906,1.2599442936480045
28,0.733317199856677,1.2660443698987365
29,0.6849203715299038,1.2549264784902334
30,0.656695527229326,1.3496181033551693
31,0.6406063093995371,1.5395903084427118
32,0.6309583362535383,1.2509741839021444
33,0.6124627796787743,1.3459429629147053
34,0.5754840710590071,1.346742894500494
35,0.5652734823260747,1.3975410629063845
36,0.5471301063472498,1.3851038292050362
37,0.542125735511171,1.402509218081832
38,0.5102425359242352,1.3802337404340506
39,0.49218552512057284,1.4027580581605434
40,0.4904375216850998,1.354841960594058
41,0.463604432365573,1.4869643319398165
42,0.4725437398392258,1.458289485424757
43,0.4279275563486079,1.5382853290066123
44,0.41958390456353517,1.4677183469757438
45,0.4157764546520321,1.4246289767324924
46,0.3963249889037288,1.5495950281620026
47,0.4154829872732467,1.396525252610445
48,0.37369325344866894,1.4858767259866
49,0.3656916342781368,1.4249300137162209
50,0.35054564446950637,1.4517430774867535
