epoch,train_loss,val_loss
1,2.105274796908629,2.1259117871522903
2,1.9018758066157078,2.265100546181202
3,1.7911192419681143,1.8598102144896984
4,1.6937042263382716,2.099395651370287
5,1.6350677389625117,1.7393494360148907
6,1.5535635132316157,1.6390219405293465
7,1.4883978282306212,1.626047782599926
8,1.4072724447605458,1.6116294749081135
9,1.3531910681978185,1.5201623924076557
10,1.2567010426774938,2.7192985080182552
11,1.1631615590964648,1.6348813399672508
12,1.049322710815051,1.6558246798813343
13,0.9644428868877127,1.6674311347305775
14,0.7926445509313692,1.7537864111363888
15,0.6882593835710634,2.0776655077934265
16,0.568086584303396,2.2004621513187885
17,0.4598464218120203,2.1997173875570297
18,0.3735303703880479,2.3015468418598175
19,0.3052472936663222,2.8400114066898823
20,0.2837891870356621,2.3379553481936455
