epoch,train_loss,val_loss
1,2.0713602334049575,2.005666647106409
2,1.8393795600174168,1.925753265619278
3,1.7095067699750264,1.900026649236679
4,1.5961354336840041,1.7290851287543774
5,1.5341513368254858,1.570940051227808
6,1.4608308336836227,1.6458300650119781
7,1.3842715802767598,1.6495182178914547
8,1.3326431030922747,1.4684549421072006
9,1.2685326107427584,1.229368269443512
10,1.2335135283622336,1.420723207294941
11,1.1662665030634995,1.3620759844779968
12,1.1240678991831787,1.2024551834911108
13,1.092430628149222,1.2221706192940474
14,1.0419817292098459,1.2070310451090336
15,1.013870467953648,1.1618977915495634
16,0.9831520164689274,1.2151370849460363
17,0.9420481013490799,1.218604439869523
18,0.9208718683068634,1.1292703403159976
19,0.8680712724408359,1.2566500455141068
20,0.8566086662153826,1.1210317183285952
